"Pick","Team","Player","College","Season"
"58","WSB","Vernon Moore","Creighton University",1985
"59","ATL","Sedric Toney","University of Dayton",1985
"60","DET","Andre Goode","Northwestern University",1985
"61","POR","Perry Young","Virginia Polytechnic Institute and State University",1985
"62","NJN","Nigel Manuel","University of California, Los Angeles",1985
"63","DAL","Harold Keeling","Santa Clara University",1985
"64","DET","Richie Johnson","University of Evansville",1985
"65","WSB","Ken Perry","Southern Illinois University",1985
"66","SAC","Michael Adams","Boston College",1985
"67","PHI","Steve Black","La Salle University",1985
"68","MIL","Eugene McDowell","University of Florida",1985
"69","CHI","Mike Brown","George Washington University",1985
"70","BOS","Andre Battle","Loyola University of Chicago",1985
"71","GSW","Luster Goodwin","University of Texas at El Paso",1985
"72","IND","Vince Hamilton","Clemson University",1985
"73","NYK","Fred Cofield","Eastern Michigan University",1985
"74","LAC","Jim Deines","Arizona State University",1985
"75","SEA","Alex Stivrins","University of Colorado",1985
"76","SAC","Willie Simmons","Louisiana Tech University",1985
"77","ATL","Arvydas Sabonis","",1985
"78","PHO","Granger Hall","Temple University",1985
"79","CLE","Mark Davis","Old Dominion University",1985
"80","CHI","Craig Beard","Samford University",1985
"81","WSB","Richie Adams","University of Nevada, Las Vegas",1985
"82","SAS","Scott Roth","University of Wisconsin",1985
"83","UTA","Delaney Rudd","Wake Forest University",1985
"84","ATL","John Battle","Rutgers University",1985
"85","POR","Joe Atkinson","Oklahoma State University",1985
"86","DAL","Bubba Jennings","Texas Tech University",1985
"87","DET","Spud Webb","North Carolina State University",1985
"88","HOU","Mike Brooks","University of Tennessee",1985
"89","DEN","Pete Williams","University of Arizona",1985
"90","PHI","Derrick Gervin","University of Texas at San Antonio",1985
"91","MIL","Cozell McQueen","North Carolina State University",1985
"92","LAL","Dexter Shouse","University of South Alabama",1985
"93","BOS","Cliff Weber","Liberty University",1985
"94","IND","Kelvin Johnson","University of Richmond",1985
"95","GSW","Greg Cavener","University of Missouri",1985
"96","NYK","Mike Schlegel","Virginia Commonwealth University",1985
"97","SEA","Lou Stefanovic","Illinois State University",1985
"98","SAC","Bob Lojewski","Saint Joseph's University",1985
"99","LAC","Wayne Carlander","University of Southern California",1985
"100","ATL","Larry Hampton","Hampton University",1985
"101","CLE","Gunther Behnke","",1985
"102","PHO","Shawn Campbell","Weber State University",1985
"103","CHI","Reid Gettys","University of Houston",1985
"104","WSB","Dean Shaffer","Florida State University",1985
"105","UTA","Ray Hall","Canisius College",1985
"106","SAS","Clayton Olivier","University of Southern California",1985
"107","POR","James Anderson","Union College",1985
"108","NJN","Kelly Blaine","University of South Alabama",1985
"109","DAL","Tommy Davis","University of Minnesota",1985
"110","DET","Mike Lahm","Murray State University",1985
"111","IND","Ivan Daniels","University of Illinois at Chicago",1985
"112","DEN","Kenny Brown","Texas A&M University",1985
"113","PHI","Carl Wright","Southern Methodist University",1985
"114","MIL","Ray Knight","Providence College",1985
"115","LAL","Timo Saarelainen","Brigham Young University",1985
"116","BOS","Albert Butts","La Salle University",1985
"117","GSW","Gerald Crosby","University of Georgia",1985
"118","IND","Stu Primus","Boston College",1985
"119","NYK","Kent Lockhart","University of Texas at El Paso",1985
"120","SAC","Charles Balentine","University of Arkansas",1985
"121","LAC","Malcolm Thomas","University of Missouri",1985
"122","SEA","Earl Walker","Mercer University",1985
"123","ATL","Tony Duckett","Lafayette College",1985
"124","PHO","Charles Rayne","Temple University",1985
"125","CLE","Ricky Johnson","Illinois State University",1985
"126","CHI","Dan Meagher","Duke University",1985
"127","WSB","Matt England","Houston Baptist University",1985
"128","SAS","Chris Harper","University of Oregon",1985
"129","UTA","Jim Miller","University of Virginia",1985
"130","NJN","George Almones","University of Louisiana at Lafayette",1985
"131","POR","Curtis Moore","University of Nebraska",1985
"132","DAL","Carlton Cooper","University of Texas at Austin",1985
"133","DET","Vincent Giles","Eastern Michigan University",1985
"134","HOU","Sam Potter","Oral Roberts University",1985
"135","DEN","Joe Carrabino","Harvard University",1985
"136","PHI","Daryl Lloyd","Drake University",1985
"137","MIL","Quentin Anderson","Texas Tech University",1985
"138","LAL","Tony Neal","California State University, Fullerton",1985
"139","BOS","Ralph Lewis","La Salle University",1985
"140","IND","Jeff Acres","Oral Roberts University",1985
"141","GSW","Eric Boyd","North Carolina Agricultural and Technical State University",1985
"142","NYK","Ken Bantum","Cornell University",1985
"143","LAC","Gary Maloncon","University of California, Los Angeles",1985
"144","SEA","Michael Phelps","Alcorn State University",1985
"145","SAC","Alton Lee Gipson","Florida State University",1985
"146","ATL","Bob Ferry","Harvard University",1985
"147","CLE","Buzz Peterson","University of North Carolina",1985
"148","PHO","Georgi Glouchkov","",1985
"149","CHI","Jeff Adkins","University of Maryland",1985
"150","WSB","Keith Gray","University of Detroit Mercy",1985
"151","UTA","Mike Wacker","University of Texas at San Antonio",1985
"152","SAS","Al Young","Virginia Polytechnic Institute and State University",1985
"153","POR","Mark Owen","Albertson College of Idaho",1985
"154","NJN","Gary McLain","Villanova University",1985
"155","DAL","Ed Catchings","University of Nevada, Las Vegas",1985
"156","DET","Frank James","University of Nevada, Las Vegas",1985
"157","IND","Don Turney","Marshall University",1985
"158","DEN","Eddie Smith","University of Arizona",1985
"159","PHI","Jaye Andrews","Bucknell University",1985
"160","MIL","Mario Elie","American International College",1985
"161","LAL","Keith Cleplicki","College of William & Mary",1985
"162","BOS","Chris Remly","Rutgers University",1985
"1","CLE","Brad Daugherty","University of North Carolina",1986
"2","BOS","Len Bias","University of Maryland",1986
"3","GSW","Chris Washburn","North Carolina State University",1986
"4","IND","Chuck Person","Auburn University",1986
"5","NYK","Kenny Walker","University of Kentucky",1986
"6","PHO","William Bedford","University of Memphis",1986
"7","DAL","Roy Tarpley","University of Michigan",1986
"8","CLE","Ron Harper","Miami University",1986
"9","CHI","Brad Sellers","Ohio State University",1986
"10","SAS","Johnny Dawkins","Duke University",1986
"11","DET","John Salley","Georgia Institute of Technology",1986
"12","WSB","John Williams","Louisiana State University",1986
"13","NJN","Pearl Washington","Syracuse University",1986
"14","POR","Walter Berry","St. John's University",1986
"15","UTA","Dell Curry","Virginia Polytechnic Institute and State University",1986
"16","DEN","Maurice Martin","Saint Joseph's University",1986
"17","SAC","Harold Pressley","Villanova University",1986
"18","DEN","Mark Alarie","Duke University",1986
"19","ATL","Billy Thompson","University of Louisville",1986
"20","HOU","Buck Johnson","University of Alabama",1986
"21","WSB","Anthony Jones","University of Nevada, Las Vegas",1986
"22","MIL","Scott Skiles","Michigan State University",1986
"23","LAL","Ken Barlow","University of Notre Dame",1986
"24","POR","Arvydas Sabonis","",1986
"25","DAL","Mark Price","Georgia Institute of Technology",1986
"26","IND","Greg Dreiling","University of Kansas",1986
"27","DET","Dennis Rodman","Southeastern Oklahoma State University",1986
"28","CHI","Larry Krystkowiak","University of Montana",1986
"29","CLE","Johnny Newman","University of Richmond",1986
"30","SEA","Nate McMillan","North Carolina State University",1986
"31","PHO","Joe Ward","University of Georgia",1986
"32","ATL","Cedric Henderson","University of Georgia",1986
"33","SAS","Kevin Duckworth","Eastern Illinois University",1986
"34","SAC","Johnny Rogers","University of California, Irvine",1986
"35","DAL","Milt Wagner","University of Louisville",1986
"36","WSB","Steve Mitchell","University of Alabama at Birmingham",1986
"37","POR","Parragiotis Fasoulas","North Carolina State University",1986
"38","SEA","Lemone Lampley","DePaul University",1986
"39","PHO","Rafael Addison","Syracuse University",1986
"40","ATL","Augusto Binelli","",1986
"41","DEN","Otis Smith","Jacksonville University",1986
"42","ATL","Ron Kellogg","University of Kansas",1986
"43","HOU","Dave Feitl","University of Texas at El Paso",1986
"44","PHI","David Wingate","Georgetown University",1986
"45","MIL","Keith Smith","Loyola Marymount University",1986
"46","PHO","Jeff Hornacek","Iowa State University",1986
"47","NYK","Michael Jackson","Georgetown University",1986
"48","SAS","Forrest McKenzie","Loyola Marymount University",1986
"49","POR","Juden Smith","University of Texas at El Paso",1986
"50","CLE","Kevin Henderson","California State University, Fullerton",1986
"51","GSW","Mike Williams","Bradley University",1986
"52","CHI","Ricky Wilson","George Mason University",1986
"53","SEA","Tod Murphy","University of California, Irvine",1986
"54","LAC","Dwayne Polee","Pepperdine University",1986
"55","PHO","Kenny Gattison","Old Dominion University",1986
"56","PHI","Keith Colbert","Virginia Polytechnic Institute and State University",1986
"57","SAC","Bruce Douglas","University of Illinois at Urbana-Champaign",1986
"58","WSB","Dave Henderson","Duke University",1986
"59","GSW","Wendell Alexis","Syracuse University",1986
"60","POR","Drazen Petrovic","",1986
"61","UTA","John Shasky","University of Minnesota",1986
"62","DAL","Anthony Welch","University of Illinois at Urbana-Champaign",1986
"63","UTA","Bill Breeding","Rocky Mountain College",1986
"64","DEN","Don Redden","Louisiana State University",1986
"65","ATL","Dave Hoppen","University of Nebraska",1986
"66","HOU","Anthony Bowie","University of Oklahoma",1986
"67","PHI","Ron Rowan","St. John's University",1986
"68","MIL","Baskerville Holmes","University of Memphis",1986
"69","LAL","Andre Turner","University of Memphis",1986
"70","ATL","Jim Les","Bradley University",1986
"71","NYK","Calvin Thompson","University of Kansas",1986
"72","IND","Derrick Taylor","Louisiana State University",1986
"73","CLE","Warren Martin","University of North Carolina",1986
"74","CHI","Scott Meents","University of Illinois at Urbana-Champaign",1986
"75","GSW","Dan Bingenheimer","University of Missouri",1986
"76","SEA","Michael Graham","Georgetown University",1986
"77","PHO","Grant Gondrezick","Pepperdine University",1986
"78","LAC","John Brownlee","University of Texas at Austin",1986
"79","SAS","Carlos Briggs","Baylor University",1986
"80","SAC","Alvin Franklin","University of Houston",1986
"81","NJN","Steve Hale","University of North Carolina",1986
"82","WSB","Barry Mungar","St. Bonaventure University",1986
"83","POR","David Shaffer","Florida State University",1986
"84","UTA","Marty Embry","DePaul University",1986
"85","DAL","Myron Jackson","University of Arkansas at Little Rock",1986
"86","DET","Chauncey Robinson","Mississippi State University",1986
"87","DEN","Anthony Watson","San Diego State University",1986
"88","ATL","Efrem Winters","University of Illinois at Urbana-Champaign",1986
"89","HOU","Conner Henry","University of California, Santa Barbara",1986
"90","PHI","Wes Stallings","East Tennessee State University",1986
"91","SAC","Bob Beecher","Virginia Polytechnic Institute and State University",1986
"92","LAL","Dale Blaney","West Virginia University",1986
"93","BOS","Tony Benford","Texas Tech University",1986
"94","NYK","Jerome Mincey","University of Alabama at Birmingham",1986
"95","IND","Richard Rellford","University of Michigan",1986
"96","CLE","Ben Davis","Gardner-Webb University",1986
"97","GSW","Clinton Smith","Cleveland State University",1986
"98","CHI","Jimmy Gilbert","Texas A&M University",1986
"99","SEA","Dominic Pressley","Boston College",1986
"100","LAC","Steffond Johnson","San Diego State University",1986
"101","PHO","Greg Spurling","Carson-Newman College",1986
"102","SAS","Earl Kelley","University of Connecticut",1986
"103","SAC","Keith Morrison","Washington State University",1986
"104","WSB","Paul Fortier","University of Washington",1986
"105","NJN","Archie Johnson","University of Alabama at Birmingham",1986
"106","POR","Jerry Adams","University of Oregon",1986
"107","UTA","Kerry Boagni","California State University, Fullerton",1986
"108","DAL","Jay Bilas","Duke University",1986
"109","DET","Clarence Hanley","Old Dominion University",1986
"110","DEN","Jon Collins","Eastern Illinois University",1986
"111","ATL","Nicky Jones","Virginia Commonwealth University",1986
"112","HOU","Andre Banks","University of Iowa",1986
"113","PHI","Kevin Holmes","DePaul University",1986
"114","MIL","Bobby Deaton","Southwstern University",1986
"115","LAL","Roger Harden","University of Kentucky",1986
"116","BOS","Dave Colbert","University of Dayton",1986
"117","NYK","Butch Wade","University of Michigan",1986
"118","IND","Jeff Hall","University of Louisville",1986
"119","CLE","Gilbert Wilburn","New Mexico State University",1986
"120","CHI","Pete Myers","University of Arkansas at Little Rock",1986
"121","GSW","Bobby Lee Hurt","University of Alabama",1986
